d_key,o_key,datetime,hour,move_count,weekday_holiday_flag,o_mesh_4,o_stop_name,o_agency,d_mesh_4,d_stop_name,d_agency,res
54_01,70_01,2022-05-02T00:00:00.000000000,12,1,w,564070091,金池一丁目,yonezawa_city,564060873,西部こども園前,yonezawa_city,None
41_02,48_02,2022-05-13T00:00:00.000000000,13,1,h,564060982,上杉神社前,yonezawa_city,564060893,県営相生ｱﾊﾟｰﾄ東,yonezawa_city,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'geometry': {'type': 'LineString', 'coordinates': [[140.108511, 37.908374], [140.111639, 37.907244], [140.111691, 37.904386], [140.114441, 37.902826], [140.11675, 37.905049]]}, 'properties': {'time_to_reach': 25700, 'routing_path': ['48_02', '47_02', '46_02', '45_02', '41_02'], 'routing_path_optional': array([('2全日冬期_06時45分_系統4182', 33, '48_02'),
       ('2全日冬期_06時45分_系統4182', 34, '47_02'),
       ('2全日冬期_06時45分_系統4182', 35, '46_02'),
       ('2全日冬期_06時45分_系統4182', 36, '45_02'),
       ('2全日冬期_06時45分_系統4182', 37, '41_02')],
      dtype=[('trip_id', 'O'), ('stop_sequence', '<i8'), ('stop_id', 'O')]), 'preceding': ['2全日冬期_12時20分_系統4182', '2全日冬期_06時45分_系統4182'], 'stop_id': '41_02'}}]}"
56_02,53_02,2022-05-04T00:00:00.000000000,10,1,w,564060874,愛宕小前,yonezawa_city,564060973,西部ｺﾐｭﾆﾃｨｾﾝﾀｰ前,yonezawa_city,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'geometry': {'type': 'LineString', 'coordinates': [[140.095692, 37.904658], [140.099794, 37.902525], [140.105836, 37.901485], [140.107113, 37.902731], [140.107414, 37.905069], [140.108511, 37.908374], [140.111639, 37.907244], [140.111691, 37.904386], [140.114441, 37.902826], [140.11675, 37.905049], [140.118408, 37.905467], [140.11675, 37.905049], [140.117441, 37.908091], [140.122178, 37.909151], [140.123648, 37.910214], [140.120057, 37.91088], [140.115704, 37.911354], [140.113521, 37.911711], [140.110224, 37.912382], [140.109704, 37.915001], [140.110812, 37.915077], [140.113791, 37.915964], [140.115619, 37.918034], [140.117247, 37.9191], [140.11617, 37.921346], [140.112639, 37.921952], [140.107268, 37.922814], [140.102918, 37.923295], [140.100512, 37.922393], [140.104435, 37.919569], [140.107933, 37.919099], [140.110563, 37.91776], [140.10915, 37.915205], [140.107163, 37.915315], [140.101369, 37.915693], [140.099916, 37.917112], [140.095618, 37.916061], [140.090329, 37.91562]]}, 'properties': {'time_to_reach': 125720, 'routing_path': ['53_02', '52_02', '51_02', '50_02', '49_02', '48_02', '47_02', '46_02', '45_02', '41_02', '42_01', '41_02', '40_02', '39_02', '27_01', '28_01', '29_01', '30_01', '31_01', '32_01', '33_01', '70_02', '69_02', '68_02', '37_02', '67_02', '66_02', '65_02', '64_02', '63_02', '62_02', '34_02', '61_02', '60_02', '59_02', '58_01', '57_02', '56_02'], 'routing_path_optional': array([('2全日冬期_06時45分_系統4182', 28, '53_02'),
       ('2全日冬期_06時45分_系統4182', 29, '52_02'),
       ('2全日冬期_06時45分_系統4182', 30, '51_02'),
       ('2全日冬期_06時45分_系統4182', 31, '50_02'),
       ('2全日冬期_06時45分_系統4182', 32, '49_02'),
       ('2全日冬期_06時45分_系統4182', 33, '48_02'),
       ('2全日冬期_06時45分_系統4182', 34, '47_02'),
       ('2全日冬期_06時45分_系統4182', 35, '46_02'),
       ('2全日冬期_06時45分_系統4182', 36, '45_02'),
       ('2全日冬期_06時45分_系統4182', 37, '41_02'),
       ('2全日冬期_06時45分_系統4182', 38, '42_01'),
       ('2全日冬期_06時45分_系統4182', 39, '41_02'),
       ('2全日冬期_06時45分_系統4182', 40, '40_02'),
       ('2全日冬期_06時45分_系統4182', 41, '39_02'), ('walk',  1, '39_02'),
       ('walk',  2, '27_01'), ('2全日冬期_12時20分_系統4182',  2, '27_01'),
       ('2全日冬期_12時20分_系統4182',  3, '28_01'),
       ('2全日冬期_12時20分_系統4182',  4, '29_01'),
       ('2全日冬期_12時20分_系統4182',  5, '30_01'),
       ('2全日冬期_12時20分_系統4182',  6, '31_01'),
       ('2全日冬期_12時20分_系統4182',  7, '32_01'),
       ('2全日冬期_12時20分_系統4182',  8, '33_01'),
       ('2全日冬期_12時20分_系統4182',  9, '70_02'),
       ('2全日冬期_12時20分_系統4182', 10, '69_02'),
       ('2全日冬期_12時20分_系統4182', 11, '68_02'),
       ('2全日冬期_12時20分_系統4182', 12, '37_02'),
       ('2全日冬期_12時20分_系統4182', 13, '67_02'),
       ('2全日冬期_12時20分_系統4182', 14, '66_02'),
       ('2全日冬期_12時20分_系統4182', 15, '65_02'),
       ('2全日冬期_12時20分_系統4182', 16, '64_02'),
       ('2全日冬期_12時20分_系統4182', 17, '63_02'),
       ('2全日冬期_12時20分_系統4182', 18, '62_02'),
       ('2全日冬期_12時20分_系統4182', 19, '34_02'),
       ('2全日冬期_12時20分_系統4182', 20, '61_02'),
       ('2全日冬期_12時20分_系統4182', 21, '60_02'),
       ('2全日冬期_12時20分_系統4182', 22, '59_02'),
       ('2全日冬期_12時20分_系統4182', 23, '58_01'),
       ('2全日冬期_12時20分_系統4182', 24, '57_02'),
       ('2全日冬期_12時20分_系統4182', 25, '56_02')],
      dtype=[('trip_id', 'O'), ('stop_sequence', '<i8'), ('stop_id', 'O')]), 'preceding': ['2全日冬期_06時45分_系統4182', '5平日土曜_09時00分_系統4141', '4平日土曜冬期_07時05分_系統4141', '2全日冬期_12時20分_系統4182', '2全日冬期_06時45分_系統4182'], 'stop_id': '56_02'}}]}"
64_01,46_02,2022-05-13T00:00:00.000000000,15,1,h,564060884,大町一丁目,yonezawa_city,564070083,信夫町,yonezawa_city,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'geometry': {'type': 'LineString', 'coordinates': [[140.111691, 37.904386], [140.114441, 37.902826], [140.11675, 37.905049], [140.118408, 37.905467], [140.11675, 37.905049], [140.117441, 37.908091], [140.122178, 37.909151], [140.123648, 37.910214], [140.120057, 37.91088], [140.115704, 37.911354], [140.113521, 37.911711], [140.110224, 37.912382], [140.109704, 37.915001], [140.110812, 37.915077], [140.113791, 37.915964], [140.115619, 37.918034], [140.117247, 37.9191], [140.11617, 37.921346], [140.112639, 37.921952], [140.107268, 37.922814], [140.102918, 37.923295], [140.100512, 37.922393], [140.100776, 37.92086]]}, 'properties': {'time_to_reach': 88840, 'routing_path': ['46_02', '45_02', '41_02', '42_01', '41_02', '40_02', '39_02', '27_01', '28_01', '29_01', '30_01', '31_01', '32_01', '33_01', '70_02', '69_02', '68_02', '37_02', '67_02', '66_02', '65_02', '64_02', '64_01'], 'routing_path_optional': array([('2全日冬期_06時45分_系統4182', 35, '46_02'),
       ('2全日冬期_06時45分_系統4182', 36, '45_02'),
       ('2全日冬期_06時45分_系統4182', 37, '41_02'),
       ('2全日冬期_06時45分_系統4182', 38, '42_01'),
       ('2全日冬期_06時45分_系統4182', 39, '41_02'),
       ('2全日冬期_06時45分_系統4182', 40, '40_02'),
       ('2全日冬期_06時45分_系統4182', 41, '39_02'), ('walk',  1, '39_02'),
       ('walk',  2, '27_01'), ('2全日冬期_12時20分_系統4182',  2, '27_01'),
       ('2全日冬期_12時20分_系統4182',  3, '28_01'),
       ('2全日冬期_12時20分_系統4182',  4, '29_01'),
       ('2全日冬期_12時20分_系統4182',  5, '30_01'),
       ('2全日冬期_12時20分_系統4182',  6, '31_01'),
       ('2全日冬期_12時20分_系統4182',  7, '32_01'),
       ('2全日冬期_12時20分_系統4182',  8, '33_01'),
       ('2全日冬期_12時20分_系統4182',  9, '70_02'),
       ('2全日冬期_12時20分_系統4182', 10, '69_02'),
       ('2全日冬期_12時20分_系統4182', 11, '68_02'),
       ('2全日冬期_12時20分_系統4182', 12, '37_02'),
       ('2全日冬期_12時20分_系統4182', 13, '67_02'),
       ('2全日冬期_12時20分_系統4182', 14, '66_02'),
       ('2全日冬期_12時20分_系統4182', 15, '65_02'),
       ('2全日冬期_12時20分_系統4182', 16, '64_02'), ('walk',  1, '64_02'),
       ('walk',  2, '64_01')],
      dtype=[('trip_id', 'O'), ('stop_sequence', '<i8'), ('stop_id', 'O')]), 'preceding': ['2全日冬期_06時45分_系統4182'], 'stop_id': '64_01'}}]}"
53_02,1_01,2022-05-30T00:00:00.000000000,7,1,w,564061384,米沢スキー場前,yonezawa_city,564060874,愛宕小前,yonezawa_city,None
34_01,80_02,2022-05-07T00:00:00.000000000,22,1,h,564060693,太田町五丁目,yonezawa_city,564070082,中央三丁目,yonezawa_city,None
52_01,58_01,2022-05-26T00:00:00.000000000,21,1,h,564070072,すこやかセンター,yonezawa_city,564060872,二中前,yonezawa_city,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'geometry': {'type': 'LineString', 'coordinates': [[140.099916, 37.917112], [140.095618, 37.916061], [140.090329, 37.91562], [140.090403, 37.91313], [140.093406, 37.908314], [140.095692, 37.904658], [140.099794, 37.902525], [140.099889, 37.902395]]}, 'properties': {'time_to_reach': 8600, 'routing_path': ['58_01', '57_02', '56_02', '55_02', '54_02', '53_02', '52_02', '52_01'], 'routing_path_optional': array([('2全日冬期_08時07分_系統4182', 23, '58_01'),
       ('2全日冬期_08時07分_系統4182', 24, '57_02'),
       ('2全日冬期_08時07分_系統4182', 25, '56_02'),
       ('2全日冬期_08時07分_系統4182', 26, '55_02'),
       ('2全日冬期_08時07分_系統4182', 27, '54_02'),
       ('2全日冬期_08時07分_系統4182', 28, '53_02'),
       ('2全日冬期_08時07分_系統4182', 29, '52_02'), ('walk',  1, '52_02'),
       ('walk',  2, '52_01')],
      dtype=[('trip_id', 'O'), ('stop_sequence', '<i8'), ('stop_id', 'O')]), 'preceding': ['2全日冬期_08時07分_系統4182'], 'stop_id': '52_01'}}]}"
12_02,27_02,2022-05-31T00:00:00.000000000,17,1,w,564060992,米沢営業所,yonezawa_city,564061831,万世小学校前,yonezawa_city,None
86_02,52_02,2022-05-16T00:00:00.000000000,16,1,w,564060872,二中前,yonezawa_city,564060884,九里学園前,yonezawa_city,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'geometry': {'type': 'LineString', 'coordinates': [[140.099794, 37.902525], [140.105836, 37.901485], [140.107113, 37.902731], [140.107414, 37.905069], [140.108511, 37.908374], [140.107934, 37.907951], [140.109047, 37.90707], [140.109352, 37.907519]]}, 'properties': {'time_to_reach': 14260, 'routing_path': ['52_02', '51_02', '50_02', '49_02', '48_02', '48_01', '86_01', '86_02'], 'routing_path_optional': array([('2全日冬期_06時45分_系統4182', 29, '52_02'),
       ('2全日冬期_06時45分_系統4182', 30, '51_02'),
       ('2全日冬期_06時45分_系統4182', 31, '50_02'),
       ('2全日冬期_06時45分_系統4182', 32, '49_02'),
       ('2全日冬期_06時45分_系統4182', 33, '48_02'), ('walk',  1, '48_02'),
       ('walk',  2, '48_01'), ('walk',  1, '48_01'),
       ('walk',  2, '86_01'), ('walk',  1, '86_01'),
       ('walk',  2, '86_02')],
      dtype=[('trip_id', 'O'), ('stop_sequence', '<i8'), ('stop_id', 'O')]), 'preceding': ['2全日冬期_06時45分_系統4182'], 'stop_id': '86_02'}}]}"
12_02,28_01,2022-05-30T00:00:00.000000000,12,1,w,564060992,駅前四丁目,yonezawa_city,564061831,万世小学校前,yonezawa_city,None
87_02,67_01,2022-05-11T00:00:00.000000000,14,1,w,564070093,年金事務所西,yonezawa_city,564060982,門東町,yonezawa_city,None
81_01,67_01,2022-05-18T00:00:00.000000000,10,1,w,564070093,年金事務所西,yonezawa_city,564060791,興望館前,yonezawa_city,None
46_01,58_01,2022-05-05T00:00:00.000000000,10,1,h,564070072,すこやかセンター,yonezawa_city,564060882,大町一丁目,yonezawa_city,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'geometry': {'type': 'LineString', 'coordinates': [[140.099916, 37.917112], [140.095618, 37.916061], [140.090329, 37.91562], [140.090403, 37.91313], [140.093406, 37.908314], [140.095692, 37.904658], [140.099794, 37.902525], [140.105836, 37.901485], [140.107113, 37.902731], [140.107414, 37.905069], [140.108511, 37.908374], [140.111639, 37.907244], [140.111691, 37.904386], [140.111555, 37.904165]]}, 'properties': {'time_to_reach': 36100, 'routing_path': ['58_01', '57_02', '56_02', '55_02', '54_02', '53_02', '52_02', '51_02', '50_02', '49_02', '48_02', '47_02', '46_02', '46_01'], 'routing_path_optional': array([('2全日冬期_06時45分_系統4182', 23, '58_01'),
       ('2全日冬期_06時45分_系統4182', 24, '57_02'),
       ('2全日冬期_06時45分_系統4182', 25, '56_02'),
       ('2全日冬期_06時45分_系統4182', 26, '55_02'),
       ('2全日冬期_06時45分_系統4182', 27, '54_02'),
       ('2全日冬期_06時45分_系統4182', 28, '53_02'),
       ('2全日冬期_06時45分_系統4182', 29, '52_02'),
       ('2全日冬期_06時45分_系統4182', 30, '51_02'),
       ('2全日冬期_06時45分_系統4182', 31, '50_02'),
       ('2全日冬期_06時45分_系統4182', 32, '49_02'),
       ('2全日冬期_06時45分_系統4182', 33, '48_02'),
       ('2全日冬期_06時45分_系統4182', 34, '47_02'),
       ('2全日冬期_06時45分_系統4182', 35, '46_02'), ('walk',  1, '46_02'),
       ('walk',  2, '46_01')],
      dtype=[('trip_id', 'O'), ('stop_sequence', '<i8'), ('stop_id', 'O')]), 'preceding': ['2全日冬期_06時45分_系統4182'], 'stop_id': '46_01'}}]}"
57_02,3_01,2022-05-14T00:00:00.000000000,21,1,h,564061464,刈安,yonezawa_city,564060974,城西郵便局前,yonezawa_city,None
66_01,29_02,2022-05-13T00:00:00.000000000,10,1,h,564060991,住之江橋,yonezawa_city,564070084,イオン米沢前,yonezawa_city,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'geometry': {'type': 'LineString', 'coordinates': [[140.116934, 37.911229], [140.121759, 37.910689], [140.122879, 37.909106], [140.117623, 37.907855], [140.118408, 37.905467], [140.114868, 37.902653], [140.111555, 37.904165], [140.111455, 37.907095], [140.107934, 37.907951], [140.10766, 37.906255], [140.107249, 37.903098], [140.10594, 37.901348], [140.099889, 37.902395], [140.095667, 37.904453], [140.093244, 37.90832], [140.090476, 37.912727], [140.090186, 37.91564], [140.095519, 37.916157], [140.099916, 37.917112], [140.101278, 37.915795], [140.107026, 37.915424], [140.109307, 37.915291], [140.110313, 37.917232], [140.108238, 37.918977], [140.105371, 37.919349], [140.100776, 37.92086], [140.10271, 37.923415], [140.107819, 37.922832]]}, 'properties': {'time_to_reach': 85020, 'routing_path': ['29_02', '28_02', '39_01', '40_01', '42_01', '45_01', '46_01', '47_01', '48_01', '49_01', '50_01', '51_01', '52_01', '53_01', '54_01', '55_01', '56_01', '57_01', '58_01', '59_01', '60_01', '61_01', '34_01', '62_01', '63_01', '64_01', '65_01', '66_01'], 'routing_path_optional': array([('2全日冬期_06時45分_系統4181', 35, '29_02'),
       ('2全日冬期_06時45分_系統4181', 36, '28_02'), ('walk',  1, '28_02'),
       ('walk',  2, '39_01'), ('2全日冬期_08時07分_系統4181',  3, '39_01'),
       ('2全日冬期_08時07分_系統4181',  4, '40_01'),
       ('2全日冬期_08時07分_系統4181',  5, '42_01'),
       ('2全日冬期_08時07分_系統4181',  6, '45_01'),
       ('2全日冬期_08時07分_系統4181',  7, '46_01'),
       ('2全日冬期_08時07分_系統4181',  8, '47_01'),
       ('2全日冬期_08時07分_系統4181',  9, '48_01'),
       ('2全日冬期_08時07分_系統4181', 10, '49_01'),
       ('2全日冬期_08時07分_系統4181', 11, '50_01'),
       ('2全日冬期_08時07分_系統4181', 12, '51_01'),
       ('2全日冬期_08時07分_系統4181', 13, '52_01'),
       ('2全日冬期_08時07分_系統4181', 14, '53_01'),
       ('2全日冬期_08時07分_系統4181', 15, '54_01'),
       ('2全日冬期_08時07分_系統4181', 16, '55_01'),
       ('2全日冬期_08時07分_系統4181', 17, '56_01'),
       ('2全日冬期_08時07分_系統4181', 18, '57_01'),
       ('2全日冬期_08時07分_系統4181', 19, '58_01'),
       ('2全日冬期_08時07分_系統4181', 20, '59_01'),
       ('2全日冬期_08時07分_系統4181', 21, '60_01'),
       ('2全日冬期_08時07分_系統4181', 22, '61_01'),
       ('2全日冬期_08時07分_系統4181', 23, '34_01'),
       ('2全日冬期_08時07分_系統4181', 24, '62_01'),
       ('2全日冬期_08時07分_系統4181', 25, '63_01'),
       ('2全日冬期_08時07分_系統4181', 26, '64_01'),
       ('2全日冬期_08時07分_系統4181', 27, '65_01'),
       ('2全日冬期_08時07分_系統4181', 28, '66_01')],
      dtype=[('trip_id', 'O'), ('stop_sequence', '<i8'), ('stop_id', 'O')]), 'preceding': ['2全日冬期_06時45分_系統4181', '2全日冬期_10時35分_系統4181', '2全日冬期_09時20分_系統4181', '2全日冬期_08時07分_系統4181', '2全日冬期_06時45分_系統4181', '4平日土曜冬期_07時05分_系統4141'], 'stop_id': '66_01'}}]}"
14_01,87_01,2022-05-18T00:00:00.000000000,14,1,w,564060982,門東町,yonezawa_city,564061821,桑山団地東,yonezawa_city,None
14_01,27_02,2022-05-07T00:00:00.000000000,14,1,h,564060992,米沢営業所,yonezawa_city,564061821,桑山団地東,yonezawa_city,None
72_01,6_02,2022-05-09T00:00:00.000000000,20,1,w,564061642,木場,yonezawa_city,564060794,通町八丁目,yonezawa_city,None
27_02,66_02,2022-05-31T00:00:00.000000000,12,1,w,564070084,イオン米沢前,yonezawa_city,564060992,米沢営業所,yonezawa_city,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'geometry': {'type': 'LineString', 'coordinates': [[140.107268, 37.922814], [140.102918, 37.923295], [140.100512, 37.922393], [140.104435, 37.919569], [140.107933, 37.919099], [140.110563, 37.91776], [140.10915, 37.915205], [140.107163, 37.915315], [140.101369, 37.915693], [140.099916, 37.917112], [140.095618, 37.916061], [140.090329, 37.91562], [140.090403, 37.91313], [140.093406, 37.908314], [140.095692, 37.904658], [140.099794, 37.902525], [140.105836, 37.901485], [140.107113, 37.902731], [140.107414, 37.905069], [140.108511, 37.908374], [140.111639, 37.907244], [140.111691, 37.904386], [140.114441, 37.902826], [140.11675, 37.905049], [140.118408, 37.905467], [140.11675, 37.905049], [140.117441, 37.908091], [140.122178, 37.909151], [140.123648, 37.910214], [140.124146, 37.910259]]}, 'properties': {'time_to_reach': 29820, 'routing_path': ['66_02', '65_02', '64_02', '63_02', '62_02', '34_02', '61_02', '60_02', '59_02', '58_01', '57_02', '56_02', '55_02', '54_02', '53_02', '52_02', '51_02', '50_02', '49_02', '48_02', '47_02', '46_02', '45_02', '41_02', '42_01', '41_02', '40_02', '39_02', '27_01', '27_02'], 'routing_path_optional': array([('2全日冬期_06時45分_系統4182', 14, '66_02'),
       ('2全日冬期_06時45分_系統4182', 15, '65_02'),
       ('2全日冬期_06時45分_系統4182', 16, '64_02'),
       ('2全日冬期_06時45分_系統4182', 17, '63_02'),
       ('2全日冬期_06時45分_系統4182', 18, '62_02'),
       ('2全日冬期_06時45分_系統4182', 19, '34_02'),
       ('2全日冬期_06時45分_系統4182', 20, '61_02'),
       ('2全日冬期_06時45分_系統4182', 21, '60_02'),
       ('2全日冬期_06時45分_系統4182', 22, '59_02'),
       ('2全日冬期_06時45分_系統4182', 23, '58_01'),
       ('2全日冬期_06時45分_系統4182', 24, '57_02'),
       ('2全日冬期_06時45分_系統4182', 25, '56_02'),
       ('2全日冬期_06時45分_系統4182', 26, '55_02'),
       ('2全日冬期_06時45分_系統4182', 27, '54_02'),
       ('2全日冬期_06時45分_系統4182', 28, '53_02'),
       ('2全日冬期_06時45分_系統4182', 29, '52_02'),
       ('2全日冬期_06時45分_系統4182', 30, '51_02'),
       ('2全日冬期_06時45分_系統4182', 31, '50_02'),
       ('2全日冬期_06時45分_系統4182', 32, '49_02'),
       ('2全日冬期_06時45分_系統4182', 33, '48_02'),
       ('2全日冬期_06時45分_系統4182', 34, '47_02'),
       ('2全日冬期_06時45分_系統4182', 35, '46_02'),
       ('2全日冬期_06時45分_系統4182', 36, '45_02'),
       ('2全日冬期_06時45分_系統4182', 37, '41_02'),
       ('2全日冬期_06時45分_系統4182', 38, '42_01'),
       ('2全日冬期_06時45分_系統4182', 39, '41_02'),
       ('2全日冬期_06時45分_系統4182', 40, '40_02'),
       ('2全日冬期_06時45分_系統4182', 41, '39_02'), ('walk',  1, '39_02'),
       ('walk',  2, '27_01'), ('walk',  1, '27_01'),
       ('walk',  2, '27_02')],
      dtype=[('trip_id', 'O'), ('stop_sequence', '<i8'), ('stop_id', 'O')]), 'preceding': ['2全日冬期_06時45分_系統4182'], 'stop_id': '27_02'}}]}"
28_02,87_01,2022-05-05T00:00:00.000000000,20,1,h,564060982,門東町,yonezawa_city,564060992,駅前四丁目,yonezawa_city,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'geometry': {'type': 'LineString', 'coordinates': [[140.110184, 37.91082], [140.110224, 37.912382], [140.109704, 37.915001], [140.110812, 37.915077], [140.113791, 37.915964], [140.115619, 37.918034], [140.117247, 37.9191], [140.11617, 37.921346], [140.112639, 37.921952], [140.107268, 37.922814], [140.102918, 37.923295], [140.100512, 37.922393], [140.104435, 37.919569], [140.107933, 37.919099], [140.110563, 37.91776], [140.10915, 37.915205], [140.107163, 37.915315], [140.101369, 37.915693], [140.099916, 37.917112], [140.095618, 37.916061], [140.090329, 37.91562], [140.090403, 37.91313], [140.093406, 37.908314], [140.095692, 37.904658], [140.099794, 37.902525], [140.105836, 37.901485], [140.107113, 37.902731], [140.107414, 37.905069], [140.108511, 37.908374], [140.111639, 37.907244], [140.111691, 37.904386], [140.114441, 37.902826], [140.11675, 37.905049], [140.118408, 37.905467], [140.11675, 37.905049], [140.117441, 37.908091], [140.122178, 37.909151], [140.121759, 37.910689]]}, 'properties': {'time_to_reach': 13940, 'routing_path': ['87_01', '31_01', '32_01', '33_01', '70_02', '69_02', '68_02', '37_02', '67_02', '66_02', '65_02', '64_02', '63_02', '62_02', '34_02', '61_02', '60_02', '59_02', '58_01', '57_02', '56_02', '55_02', '54_02', '53_02', '52_02', '51_02', '50_02', '49_02', '48_02', '47_02', '46_02', '45_02', '41_02', '42_01', '41_02', '40_02', '39_02', '28_02'], 'routing_path_optional': array([('walk',  1, '87_01'), ('walk',  2, '31_01'),
       ('2全日冬期_08時07分_系統4182',  6, '31_01'),
       ('2全日冬期_08時07分_系統4182',  7, '32_01'),
       ('2全日冬期_08時07分_系統4182',  8, '33_01'),
       ('2全日冬期_08時07分_系統4182',  9, '70_02'),
       ('2全日冬期_08時07分_系統4182', 10, '69_02'),
       ('2全日冬期_08時07分_系統4182', 11, '68_02'),
       ('2全日冬期_08時07分_系統4182', 12, '37_02'),
       ('2全日冬期_08時07分_系統4182', 13, '67_02'),
       ('2全日冬期_08時07分_系統4182', 14, '66_02'),
       ('2全日冬期_08時07分_系統4182', 15, '65_02'),
       ('2全日冬期_08時07分_系統4182', 16, '64_02'),
